Sprint,Action,Sub-Action,Estimated Hours,Category,Due Date,Status
Sprint 1,Frontend Setup,Install Node.js and React,2,Frontend,3/13/2023,In Process
Sprint 1,Frontend Setup,Setup React project with ESBuild,2,Frontend,3/14/2023,In Process
Sprint 1,Frontend UI,Create basic UI layout,4,Frontend,3/15/2023,In Process
Sprint 1,Backend Setup,Install Ruby and Rails,2,Backend,3/13/2023,In Process
Sprint 1,Backend Setup,Setup Rails project with ESBuild,2,Backend,3/14/2023,In Process
Sprint 1,User Authentication,Setup Devise,4,Backend,3/16/2023,In Process
Sprint 2,Frontend UI,Implement user authentication UI,4,Frontend,TBD,Future
Sprint 2,Backend Setup,Integrate Devise for user authentication,4,Backend,TBD,Future
Sprint 2,Tweet Management,Create tweet model,2,Backend,TBD,Future
Sprint 2,Tweet Management,Implement tweet CRUD functionality,6,Backend,TBD,Future
Sprint 2,Tweet UI,Create tweet UI,4,Frontend,TBD,Future
Sprint 3,Follow Management,Create follow model,2,Backend,TBD,Future
Sprint 3,Follow Management,Implement follow/unfollow functionality,6,Backend,TBD,Future
Sprint 3,Follow UI,Implement follow/unfollow UI,4,Frontend,TBD,Future
Sprint 3,Tweet Management,Create tweet controller actions,2,Backend,TBD,Future
Sprint 3,Follow Management,Create follow controller actions,2,Backend,TBD,Future
Sprint 4,Real-Time Updates,Setup ActionCable,2,Backend,TBD,Future
Sprint 4,Real-Time Updates,Implement real-time tweet updates backend,4,Backend,TBD,Future
Sprint 4,Real-Time Updates,Implement real-time tweet updates frontend,4,Frontend,TBD,Future
Sprint 4,Hashtag Search,Create hashtag model,2,Backend,TBD,Future
Sprint 4,Hashtag Search,Implement hashtag search functionality,6,New Feature,TBD,Future
Sprint 4,Hashtag Search UI,Create hashtag search UI,4,Frontend,TBD,Future
Sprint 5,Tweet Likes,Create like model,2,New Feature,TBD,Future
Sprint 5,Tweet Likes,Implement tweet liking functionality,6,New Feature,TBD,Future
Sprint 5,Code Refactoring,Refactor code for readability and maintainability,8,N/A,TBD,Future
Sprint 6,Testing and Bug Fixing,Write and execute test cases,12,N/A,TBD,Future
Sprint 6,Testing and Bug Fixing,Fix any issues found during testing,12,N/A,TBD,Future
